type_2	type_1	by	score	n
ejective	plain	('cor', 's09', 'Q', 1, 2)	0.375	16
plain	ejective	('cor', 's09', 'Q', 1, 2)	0.375	112
ejective	plain	('lab', 's09', 'Q', 1, 1)	0.483333333333	660
plain	ejective	('lab', 's09', 'Q', 1, 1)	0.497474747475	2772
ejective	plain	('lab', 's09', 'Q', 2, 1)	0.777777777778	36
plain	ejective	('lab', 's09', 'Q', 2, 1)	0.166666666667	24
ejective	plain	('lab', 's08', 'Q', 2, 3)	0.375	8
plain	ejective	('lab', 's08', 'Q', 2, 3)	0.333333333333	24
ejective	plain	('vel', 's08', 'A', 1, 2)	1.0	14
plain	ejective	('vel', 's08', 'A', 1, 2)	0.797619047619	84
plain	ejective	('vel', 's08', 'Q', 1, 1)	0.663742690058	342
ejective	plain	('lab', 's09', 'A', 1, 1)	0.705782312925	1176
plain	ejective	('lab', 's09', 'A', 1, 1)	0.419345238095	3360
ejective	plain	('lab', 's09', 'A', 2, 1)	0.694444444444	36
plain	ejective	('lab', 's09', 'A', 2, 1)	0.125	24
ejective	plain	('vel', 's09', 'A', 1, 2)	0.428571428571	14
plain	ejective	('vel', 's09', 'A', 1, 2)	0.404761904762	84
ejective	plain	('lab', 's08', 'A', 2, 3)	1.0	8
plain	ejective	('lab', 's08', 'A', 2, 3)	0.458333333333	24
ejective	plain	('cor', 's08', 'A', 1, 2)	1.0	14
plain	ejective	('cor', 's08', 'A', 1, 2)	0.369047619048	84
plain	ejective	('vel', 's08', 'Q', 1, 2)	0.52380952381	42
ejective	plain	('lab', 's09', 'Q', 2, 3)	1.0	8
plain	ejective	('lab', 's09', 'Q', 2, 3)	0.5	24
ejective	plain	('lab', 's08', 'Q', 1, 1)	0.860330578512	2420
plain	ejective	('lab', 's08', 'Q', 1, 1)	0.425619834711	5082
plain	ejective	('vel', 's09', 'Q', 2, 3)	0.5	12
ejective	plain	('cor', 's08', 'A', 1, 4)	0.0	4
plain	ejective	('cor', 's08', 'A', 1, 4)	0.25	4
ejective	plain	('cor', 's08', 'Q', 1, 2)	0.9375	16
plain	ejective	('cor', 's08', 'Q', 1, 2)	0.428571428571	112
plain	ejective	('lab', 's09', 'A', 2, 3)	0.166666666667	6
ejective	plain	('lab', 's08', 'A', 1, 1)	0.739545454545	2200
plain	ejective	('lab', 's08', 'A', 1, 1)	0.435406698565	4180
ejective	plain	('cor', 's08', 'Q', 1, 4)	0.0	2
ejective	plain	('vel', 's08', 'A', 2, 3)	0.583333333333	12
plain	ejective	('vel', 's08', 'A', 2, 3)	0.533333333333	60
ejective	plain	('lab', 's08', 'Q', 2, 1)	0.261904761905	42
ejective	plain	('cor', 's09', 'A', 1, 2)	1.0	12
plain	ejective	('cor', 's09', 'A', 1, 2)	0.333333333333	60
ejective	plain	('cor', 's09', 'Q', 1, 4)	0.25	4
plain	ejective	('cor', 's09', 'Q', 1, 4)	0.25	4
ejective	plain	('vel', 's09', 'Q', 1, 2)	0.3125	16
plain	ejective	('vel', 's09', 'Q', 1, 2)	0.598214285714	112
plain	ejective	('vel', 's09', 'A', 2, 3)	0.5	2
plain	ejective	('vel', 's08', 'Q', 2, 3)	1.0	20
