file_A;onset_A;offset_A;#item_A;phone_A;file_B;onset_B;offset_B;#item_B;phone_B;speaker;question;d(A, B)
geo020s09a0006v02;0.594625;0.788211;#i342;t>e;geo020s09a0005v02;0.624523;1.010681;#i340;t>e;he;a;0.127785697808
geo020s09a0041v02;1.064881;1.322021;#i382;t>e;geo020s09a0005v02;0.624523;1.010681;#i340;t>e;he;a;0.249421062205
geo020s09a0042v02;0.741727;0.957419;#i384;t>e;geo020s09a0005v02;0.624523;1.010681;#i340;t>e;he;a;0.173404919672
geo020s09a0105v02;0.647309;0.89333;#i472;te;geo020s09a0005v02;0.624523;1.010681;#i340;t>e;he;a;0.181045601724
geo020s09a0106v02;0.643827;0.867928;#i474;te;geo020s09a0005v02;0.624523;1.010681;#i340;t>e;he;a;0.109746844952
geo020s09a0148v02;0.623522;0.82097;#i527;t>e;geo020s09a0005v02;0.624523;1.010681;#i340;t>e;he;a;0.171248658577
geo020s09a0183v02;0.796669;1.075617;#i560;t>e;geo020s09a0005v02;0.624523;1.010681;#i340;t>e;he;a;0.184291786961
geo020s09a0184v02;0.609513;0.834633;#i562;t>e;geo020s09a0005v02;0.624523;1.010681;#i340;t>e;he;a;0.107874086918
geo020s09a0005v02;0.624523;1.010681;#i340;t>e;geo020s09a0006v02;0.594625;0.788211;#i342;t>e;he;a;0.127785697808
geo020s09a0041v02;1.064881;1.322021;#i382;t>e;geo020s09a0006v02;0.594625;0.788211;#i342;t>e;he;a;0.28165807529
geo020s09a0042v02;0.741727;0.957419;#i384;t>e;geo020s09a0006v02;0.594625;0.788211;#i342;t>e;he;a;0.0824135502868
geo020s09a0105v02;0.647309;0.89333;#i472;te;geo020s09a0006v02;0.594625;0.788211;#i342;t>e;he;a;0.0791497079076
geo020s09a0106v02;0.643827;0.867928;#i474;te;geo020s09a0006v02;0.594625;0.788211;#i342;t>e;he;a;0.0849444149352
geo020s09a0148v02;0.623522;0.82097;#i527;t>e;geo020s09a0006v02;0.594625;0.788211;#i342;t>e;he;a;0.1020167395
geo020s09a0183v02;0.796669;1.075617;#i560;t>e;geo020s09a0006v02;0.594625;0.788211;#i342;t>e;he;a;0.082120019239
geo020s09a0184v02;0.609513;0.834633;#i562;t>e;geo020s09a0006v02;0.594625;0.788211;#i342;t>e;he;a;0.0786774245888
geo020s09a0005v02;0.624523;1.010681;#i340;t>e;geo020s09a0041v02;1.064881;1.322021;#i382;t>e;he;a;0.249421062205
geo020s09a0006v02;0.594625;0.788211;#i342;t>e;geo020s09a0041v02;1.064881;1.322021;#i382;t>e;he;a;0.28165807529
geo020s09a0042v02;0.741727;0.957419;#i384;t>e;geo020s09a0041v02;1.064881;1.322021;#i382;t>e;he;a;0.279566620794
