 file_A onset_A offset_A file_B onset_B offset_B "d(A, B)"
0 geo020s09a0080v02 0.965023 1.052672 geo020s09a0079v02 1.147034 1.225435 0.0701535208456
1 geo020s09a0179v02 1.220316 1.303243 geo020s09a0079v02 1.147034 1.225435 0.124937279608
2 geo020s09a0192v02 0.660306 0.747998 geo020s09a0079v02 1.147034 1.225435 0.0796357006448
3 geo020s09a0079v02 1.147034 1.225435 geo020s09a0080v02 0.965023 1.052672 0.0701535208456
4 geo020s09a0179v02 1.220316 1.303243 geo020s09a0080v02 0.965023 1.052672 0.11516831749
5 geo020s09a0192v02 0.660306 0.747998 geo020s09a0080v02 0.965023 1.052672 0.0739983461128
6 geo020s09a0079v02 1.147034 1.225435 geo020s09a0179v02 1.220316 1.303243 0.124937279608
7 geo020s09a0080v02 0.965023 1.052672 geo020s09a0179v02 1.220316 1.303243 0.11516831749
8 geo020s09a0192v02 0.660306 0.747998 geo020s09a0179v02 1.220316 1.303243 0.0855513321304
0 geo020s09a0118v01 1.40809 1.453953 geo020s09a0081v01 1.298858 1.364895 0.0934139353652
1 geo020s09a0120v01 1.125806 1.196452 geo020s09a0081v01 1.298858 1.364895 0.098678078218
2 geo020s09a0216v01 1.465928 1.54924 geo020s09a0081v01 1.298858 1.364895 0.0496218836314
3 geo020s09a0222v01 1.159772 1.230988 geo020s09a0081v01 1.298858 1.364895 0.0770801518061
4 geo020s09a0081v01 1.298858 1.364895 geo020s09a0118v01 1.40809 1.453953 0.0934139353652
5 geo020s09a0120v01 1.125806 1.196452 geo020s09a0118v01 1.40809 1.453953 0.11936863079
6 geo020s09a0216v01 1.465928 1.54924 geo020s09a0118v01 1.40809 1.453953 0.1007222693
7 geo020s09a0222v01 1.159772 1.230988 geo020s09a0118v01 1.40809 1.453953 0.102806220468
8 geo020s09a0081v01 1.298858 1.364895 geo020s09a0120v01 1.125806 1.196452 0.098678078218
9 geo020s09a0118v01 1.40809 1.453953 geo020s09a0120v01 1.125806 1.196452 0.11936863079
10 geo020s09a0216v01 1.465928 1.54924 geo020s09a0120v01 1.125806 1.196452 0.0728752963955
11 geo020s09a0222v01 1.159772 1.230988 geo020s09a0120v01 1.125806 1.196452 0.0691042543728
12 geo020s09a0081v01 1.298858 1.364895 geo020s09a0216v01 1.465928 1.54924 0.0496218836314
13 geo020s09a0118v01 1.40809 1.453953 geo020s09a0216v01 1.465928 1.54924 0.1007222693
14 geo020s09a0120v01 1.125806 1.196452 geo020s09a0216v01 1.465928 1.54924 0.0728752963955
15 geo020s09a0222v01 1.159772 1.230988 geo020s09a0216v01 1.465928 1.54924 0.0741729832569
0 geo020s08a0086v01 0.746346 0.831146 geo020s08a0084v01 0.817321 0.890953 0.0595213953347
1 geo020s08a0105v01 1.005891 1.081061 geo020s08a0084v01 0.817321 0.890953 0.0516888501351
2 geo020s08a0107v01 0.94525 1.030563 geo020s08a0084v01 0.817321 0.890953 0.0553235090573
3 geo020s08a0126v01 1.309196 1.386125 geo020s08a0084v01 0.817321 0.890953 0.0689881412349
4 geo020s08a0217v01 0.986752 1.072811 geo020s08a0084v01 0.817321 0.890953 0.0701303227036
5 geo020s08a0219v01 1.035365 1.124219 geo020s08a0084v01 0.817321 0.890953 0.0634997361748
6 geo020s08a0240v01 1.02012 1.106425 geo020s08a0084v01 0.817321 0.890953 0.063661721839
7 geo020s08a0084v01 0.817321 0.890953 geo020s08a0086v01 0.746346 0.831146 0.0595213953347
8 geo020s08a0105v01 1.005891 1.081061 geo020s08a0086v01 0.746346 0.831146 0.0659034818553
9 geo020s08a0107v01 0.94525 1.030563 geo020s08a0086v01 0.746346 0.831146 0.0605448839739
10 geo020s08a0126v01 1.309196 1.386125 geo020s08a0086v01 0.746346 0.831146 0.0987011061204
11 geo020s08a0217v01 0.986752 1.072811 geo020s08a0086v01 0.746346 0.831146 0.0630367706208
12 geo020s08a0219v01 1.035365 1.124219 geo020s08a0086v01 0.746346 0.831146 0.0631431204647
13 geo020s08a0240v01 1.02012 1.106425 geo020s08a0086v01 0.746346 0.831146 0.0634803888682
14 geo020s08a0084v01 0.817321 0.890953 geo020s08a0105v01 1.005891 1.081061 0.0516888501351
15 geo020s08a0086v01 0.746346 0.831146 geo020s08a0105v01 1.005891 1.081061 0.0659034818553
16 geo020s08a0107v01 0.94525 1.030563 geo020s08a0105v01 1.005891 1.081061 0.0487864405325
17 geo020s08a0126v01 1.309196 1.386125 geo020s08a0105v01 1.005891 1.081061 0.0850845396194
18 geo020s08a0217v01 0.986752 1.072811 geo020s08a0105v01 1.005891 1.081061 0.084190365103
19 geo020s08a0219v01 1.035365 1.124219 geo020s08a0105v01 1.005891 1.081061 0.076879015695
20 geo020s08a0240v01 1.02012 1.106425 geo020s08a0105v01 1.005891 1.081061 0.0564790542484
21 geo020s08a0084v01 0.817321 0.890953 geo020s08a0126v01 1.309196 1.386125 0.0689881412349
22 geo020s08a0086v01 0.746346 0.831146 geo020s08a0126v01 1.309196 1.386125 0.0987011061204
23 geo020s08a0105v01 1.005891 1.081061 geo020s08a0126v01 1.309196 1.386125 0.0850845396194
24 geo020s08a0107v01 0.94525 1.030563 geo020s08a0126v01 1.309196 1.386125 0.0848423806728
25 geo020s08a0217v01 0.986752 1.072811 geo020s08a0126v01 1.309196 1.386125 0.0864468692474
26 geo020s08a0219v01 1.035365 1.124219 geo020s08a0126v01 1.309196 1.386125 0.0857801893828
27 geo020s08a0240v01 1.02012 1.106425 geo020s08a0126v01 1.309196 1.386125 0.100691265216
28 geo020s08a0084v01 0.817321 0.890953 geo020s08a0217v01 0.986752 1.072811 0.0701303227036
29 geo020s08a0086v01 0.746346 0.831146 geo020s08a0217v01 0.986752 1.072811 0.0630367706208
30 geo020s08a0105v01 1.005891 1.081061 geo020s08a0217v01 0.986752 1.072811 0.084190365103
31 geo020s08a0107v01 0.94525 1.030563 geo020s08a0217v01 0.986752 1.072811 0.0848281992635
32 geo020s08a0126v01 1.309196 1.386125 geo020s08a0217v01 0.986752 1.072811 0.0864468692474
33 geo020s08a0219v01 1.035365 1.124219 geo020s08a0217v01 0.986752 1.072811 0.0435895162671
34 geo020s08a0240v01 1.02012 1.106425 geo020s08a0217v01 0.986752 1.072811 0.0708514930866
35 geo020s08a0084v01 0.817321 0.890953 geo020s08a0219v01 1.035365 1.124219 0.0634997361748
36 geo020s08a0086v01 0.746346 0.831146 geo020s08a0219v01 1.035365 1.124219 0.0631431204647
37 geo020s08a0105v01 1.005891 1.081061 geo020s08a0219v01 1.035365 1.124219 0.076879015695
38 geo020s08a0107v01 0.94525 1.030563 geo020s08a0219v01 1.035365 1.124219 0.0810959252992
39 geo020s08a0126v01 1.309196 1.386125 geo020s08a0219v01 1.035365 1.124219 0.0857801893828
40 geo020s08a0217v01 0.986752 1.072811 geo020s08a0219v01 1.035365 1.124219 0.0435895162671
41 geo020s08a0240v01 1.02012 1.106425 geo020s08a0219v01 1.035365 1.124219 0.0709950161536
42 geo020s08a0084v01 0.817321 0.890953 geo020s08a0240v01 1.02012 1.106425 0.063661721839
43 geo020s08a0086v01 0.746346 0.831146 geo020s08a0240v01 1.02012 1.106425 0.0634803888682
44 geo020s08a0105v01 1.005891 1.081061 geo020s08a0240v01 1.02012 1.106425 0.0564790542484
45 geo020s08a0107v01 0.94525 1.030563 geo020s08a0240v01 1.02012 1.106425 0.0714366706395
46 geo020s08a0126v01 1.309196 1.386125 geo020s08a0240v01 1.02012 1.106425 0.100691265216
47 geo020s08a0217v01 0.986752 1.072811 geo020s08a0240v01 1.02012 1.106425 0.0708514930866
48 geo020s08a0219v01 1.035365 1.124219 geo020s08a0240v01 1.02012 1.106425 0.0709950161536
0 geo020s09a0120v02 0.844353 0.913541 geo020s09a0119v02 0.982432 1.059735 0.0702924335504
1 geo020s09a0221v02 1.035334 1.10605 geo020s09a0119v02 0.982432 1.059735 0.0839489884096
2 geo020s09a0119v02 0.982432 1.059735 geo020s09a0120v02 0.844353 0.913541 0.0702924335504
3 geo020s09a0221v02 1.035334 1.10605 geo020s09a0120v02 0.844353 0.913541 0.0794279078221
