file_A;onset_A;offset_A;#item_A;phone_A;new_A;file_B;onset_B;offset_B;#item_B;phone_B;speaker;question_B;new;dist
geo020s08a0023v01;0.756105;0.885105;#23;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.112371957175
geo020s08a0057v01;0.810292;0.939292;#52;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.0985769008559
geo020s08a0059v01;0.809141;0.938141;#53;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.112654812769
geo020s08a0064v01;0.70452;0.83352;#61;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.124757930287
geo020s08a0068v01;0.873685;1.002685;#66;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.121940494715
geo020s08a0070v01;0.723302;0.852302;#69;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.112762764783
geo020s08a0082v01;0.672542;0.801542;#84;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.126502289163
geo020s08a0084v01;0.680439;0.809439;#87;pa;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.0693890766406
geo020s08a0086v01;0.604739;0.733739;#91;pa;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.0707156499691
geo020s08a0087v01;0.947635;1.076635;#93;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.106522667131
geo020s08a0098v01;0.750093;0.879093;#104;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.115826969484
geo020s08a0105v01;0.834203;0.963203;#111;pa;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.0610532233029
geo020s08a0107v01;0.793341;0.922341;#115;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.0808759706933
geo020s08a0115v01;0.998281;1.127281;#123;pa;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.0694406308957
geo020s08a0116v01;0.822226;0.951226;#125;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.119580770329
geo020s08a0119v01;0.945455;1.074455;#129;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.103654857866
geo020s08a0120v01;0.634487;0.763487;#131;pa;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.0656461406893
geo020s08a0128v01;0.710235;0.839235;#139;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.133867225735
geo020s08a0133v01;0.854538;0.983538;#145;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.120238849427
geo020s08a0137v01;0.76199;0.89099;#150;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.12797224779
geo020s08a0141v01;0.803768;0.932768;#155;pa;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.0582780731194
geo020s08a0158v01;0.947753;1.076753;#179;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.11583964764
geo020s08a0192v01;0.785025;0.914025;#213;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.114050797154
geo020s08a0194v01;0.702436;0.831436;#217;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.148992707095
geo020s08a0197v01;0.903041;1.032041;#220;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.128142914714
geo020s08a0201v01;0.835774;0.964774;#227;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.124567878484
geo020s08a0203v01;0.737069;0.866069;#230;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.106338621685
geo020s08a0215v01;0.784613;0.913613;#240;p>a;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.106341916186
geo020s08a0217v01;0.847427;0.976427;#244;pa;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.0520261271943
geo020s08a0219v01;0.881031;1.010031;#245;pa;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.0589399937954
geo020s08a0240v01;0.886368;1.015368;#273;pa;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.0623584226689
geo020s08a0250v01;0.700244;0.829244;#288;pa;new;geo020s08a0008v01;0.809288;0.938288;#6;pa;s08;question;new;0.0798708969887
geo020s08a0008v01;0.809288;0.938288;#6;pa;new;geo020s08a0023v01;0.756105;0.885105;#23;p>a;s08;question;new;0.112371957175
